target_redshift,redshift,output_name,node_index,merger_tree_index,is_central_galaxy,weight,stellar_mass_msun,log10_stellar_mass_msun,sfr_raw_msun_per_gyr,sfr_msun_per_year,log10_ssfr_per_year,black_hole_mass_msun,mdot_rest_msun_per_gyr,mdot_rest_g_per_s,radiative_efficiency_catalog,radiative_efficiency_used,rest_mass_power_erg_s,eddington_luminosity_erg_s,bolometric_luminosity_catalog_erg_s,bolometric_luminosity_erg_s,eddington_ratio_catalog,eddington_ratio,accretion_rate_eddington_paper,accretion_rate_eddington_galacticus,fraction_adaf,valid_accreting_black_hole,power_jet_galacticus,power_jet_erg_s,population_default,thin_disk_dominated
0,0,Output19,17847,17371,False,7.711300957e-07,24402662456.7,10.3874372127,1503188807.99,1.50318880799,-10.2104236791,1629674.69721,3.86468509646,2.4356781179e+17,3.0544096542e-05,3.0544096542e-05,2.1890783222e+38,2.05339011848e+44,6.68634196112e+33,6.68634196112e+33,3.25624531887e-11,3.25624531887e-11,1.06608008994e-06,1.06792169495e-06,1,True,694681148926,4.3781566444e+38,star_forming,False
0,0,Output19,18407,17371,False,7.711300957e-07,25383619530.5,10.4045535496,2708975238.87,2.70897523887,-9.97174851417,1177251.6998,0,0,0.300349112957,0.300349112957,0,1.48333714175e+44,0,0,0,0,0,0,0,False,0,0,star_forming,False
0,0,Output19,15366,17371,False,7.711300957e-07,22255503083.2,10.3474374159,2223305622.35,2.22330562235,-10.0004382497,1865152.53675,0.297570183526,1.87540554137e+16,1.88106304229e-06,1.88106304229e-06,1.68553044254e+37,2.35009219631e+44,3.17058902211e+31,3.17058902211e+31,1.34913388806e-13,1.34913388806e-13,7.17218858556e-08,7.18457821604e-08,1,True,53488548696.4,3.37106088507e+37,star_forming,False
0,0,Output19,15577,17371,False,7.711300957e-07,14285517122.6,10.1548959661,1071406045.83,1.07140604583,-10.1249418733,513933.337868,0,0,0.310365818914,0.310365818914,0,6.47556005714e+43,0,0,0,0,0,0,0,False,0,0,star_forming,False
0,0,Output19,13798,17371,False,7.711300957e-07,31021247623,10.4916592604,1105447437.38,1.10544743738,-10.4481211632,1550993.88881,139.938121233,8.81945646905e+18,0.00106739120736,0.00106739120736,7.9265321752e+39,1.95425229989e+44,8.4607107487e+36,8.4607107487e+36,4.32938507948e-08,4.32938507948e-08,4.05604341652e-05,4.06305004755e-05,1,True,2.51540222322e+13,1.58530643504e+40,star_forming,False
0,0,Output19,13162,17371,False,7.711300957e-07,130957713243,11.1171310829,211759225.866,0.211759225866,-11.7912887423,20556295.0527,11.5448976029,7.27605322633e+17,5.52426171766e-06,5.52426171766e-06,6.53939051793e+38,2.59009317664e+45,3.6125304695e+33,3.6125304695e+33,1.39474923222e-12,1.39474923222e-12,2.52477037387e-07,2.52913180018e-07,1,True,2.07520730172e+12,1.30787810359e+39,quiescent,False
0,0,Output19,12223,17371,False,7.711300957e-07,40808455996.5,10.6107501634,1286986517.86,1.28698651786,-10.501176166,2148568.0636,34.3687287224,2.16605385432e+18,0.000210839802939,0.000210839802939,1.94675211899e+39,2.70719576014e+44,4.10452833139e+35,4.10452833139e+35,1.51615497919e-09,1.51615497919e-09,7.19102825018e-06,7.20345042532e-06,1,True,6.17781458517e+12,3.89350423799e+39,star_forming,False
0,0,Output19,12135,17371,False,7.711300957e-07,18720931927.8,10.2723274641,540161097.753,0.540161097753,-10.5398041609,1677631.99824,209.764550984,1.32201955396e+19,0.00154851511194,0.00154851511194,1.18817192051e+40,2.11381631779e+44,1.8399021745e+37,1.8399021745e+37,8.70417244401e-08,8.70417244401e-08,5.62097998069e-05,5.63068996866e-05,1,True,3.77053953024e+13,2.37634384103e+40,star_forming,False
0,0,Output19,11224,17371,False,7.711300957e-07,60385899371,10.7809355389,2326856213.31,2.32685621331,-10.4141659918,2972815.50518,263.872004788,1.66302622839e+19,0.00104812757409,0.00104812757409,1.49465343514e+40,3.74574753652e+44,1.56658747908e+37,1.56658747908e+37,4.18230930891e-08,4.18230930891e-08,3.9902674181e-05,3.99716042409e-05,1,True,4.74312661654e+13,2.98930687029e+40,star_forming,False
0,0,Output19,10536,17371,False,7.711300957e-07,49087935783.4,10.6909747698,429520807.803,0.429520807803,-11.0579905621,6433142.75747,0.063369039838,3.9937686987e+15,1.11623914603e-07,1.11623914603e-07,3.58942030064e+36,8.10575987441e+44,4.00665145112e+29,4.00665145112e+29,4.94296834991e-16,4.94296834991e-16,4.42823418933e-09,4.43588376304e-09,1,True,11390650545.2,7.17884060127e+36,star_forming,False
0,0,Output19,9433,17371,False,7.711300957e-07,51556867259.7,10.7122865205,8466541.66412,0.00846654166412,-12.7845804706,3905233.86812,0.00346432623859,2.1833560567e+14,1.05481086839e-08,1.05481086839e-08,1.96230256299e+35,4.92059467383e+44,2.06985807051e+27,2.06985807051e+27,4.20652016212e-18,4.20652016212e-18,3.98793782675e-10,3.99482680847e-10,1,True,622716229.553,3.92460512597e+35,quiescent,False
0,0,Output19,9138,17371,False,7.711300957e-07,19038381953.1,10.2796300355,210612655.428,0.210612655428,-10.9561455717,1428569.20819,15.3531443852,9.67616167598e+17,0.000136027608479,0.000136027608479,8.69650041658e+38,1.79999720232e+44,1.1829641538e+35,1.1829641538e+35,6.57203329138e-10,6.57203329138e-10,4.83139662961e-06,4.83974264815e-06,1,True,2.75974360523e+12,1.73930008332e+39,star_forming,False
0,0,Output19,8929,17371,False,7.711300957e-07,14708311308.1,10.1675628133,492776614.553,0.492776614553,-10.4749127238,1157192.3777,7023.87377572,4.42672435953e+20,0.0545336209594,0.0545336209594,3.97854144297e+41,1.4580623959e+44,2.16964271022e+40,2.16964271022e+40,0.000148803145622,0.000148803145622,0.00272864964775,0.00273336326626,0.999997672056,True,4.55653303692e+14,2.87170818178e+41,star_forming,False
0,0,Output19,8813,17371,False,7.711300957e-07,10671409688.9,10.0282217933,595985143.81,0.59598514381,-10.2529863592,651534.375682,958.617906228,6.04159096886e+19,0.0170770456414,0.0170770456414,5.42991117108e+40,8.20933313359e+43,9.27268408975e+38,9.27268408975e+38,1.12952951706e-05,1.12952951706e-05,0.000661431456455,0.000662574049296,0.999999999998,True,1.7231256153e+14,1.08598223421e+41,star_forming,False
0,0,Output19,8497,17371,False,7.711300957e-07,33345299907.8,10.5230346278,97439676.1781,0.0974396761781,-11.5342987958,3448244.05405,0.0351692734817,2.21650736616e+15,1.20090060688e-07,1.20090060688e-07,1.99209747404e+36,4.34478750811e+44,2.39231106554e+29,2.39231106554e+29,5.50616356053e-16,5.50616356053e-16,4.58502854357e-09,4.59294897242e-09,1,True,6321713334.82,3.98419494808e+36,quiescent,False
0,0,Output19,8080,17371,False,7.711300957e-07,13273502492.8,10.1229855357,104825368.646,0.104825368646,-11.1025191373,973669.635542,237.965365071,1.49975229043e+19,0.00308370068584,0.00308370068584,1.34791013785e+40,1.22682374078e+44,4.15655141653e+37,4.15655141653e+37,3.38805916315e-07,3.38805916315e-07,0.000109869909836,0.000110059705122,1,True,4.27745208435e+13,2.69582027569e+40,star_forming,False
0,0,Output19,1,17371,True,7.711300957e-07,468746420127,11.670937964,93702.9569667,9.37029569667e-05,-15.6991846679,37879646.3724,65.3518080732,4.11873063177e+18,1.79027785636e-05,1.79027785636e-05,3.70173048512e+39,4.77283544293e+45,6.62712611771e+34,6.62712611771e+34,1.38850924088e-11,1.38850924088e-11,7.75583095078e-07,7.76922879697e-07,1,True,1.17470551891e+13,7.40346097024e+39,quiescent,False
0,0,Output19,14838,17370,False,7.69033001521e-07,13055229871.3,10.1157845231,289041674.392,0.289041674392,-10.6548240587,693183.285382,0.0512935324319,3.2327222378e+15,9.98429641156e-07,9.98429641156e-07,2.90542585264e+36,8.73410939581e+43,2.90086329146e+30,2.90086329146e+30,3.32130405059e-14,3.32130405059e-14,3.32652789308e-08,3.33227431914e-08,1,True,9220065581.78,5.81085170528e+36,star_forming,False
0,0,Output19,12472,17370,False,7.69033001521e-07,78132732121.7,10.8928330109,140230726.629,0.140230726629,-11.7459898264,8031811.52033,0.0162579241323,1.02463898256e+15,2.21981793319e-08,2.21981793319e-08,9.20899591912e+35,1.01200825156e+45,2.04422942879e+28,2.04422942879e+28,2.01997308385e-17,2.01997308385e-17,9.09972414248e-10,9.11544350321e-10,1,True,2922378701.88,1.84179918382e+36,quiescent,False
0,0,Output19,12194,17370,False,7.69033001521e-07,11519834409.9,10.0614462364,209429969.496,0.209429969496,-10.740407407,1005194.91457,259.632809538,1.63630913541e+19,0.00318002597214,0.00318002597214,1.47064130946e+40,1.26654559236e+44,4.67667755978e+37,4.67667755978e+37,3.69246680734e-07,3.69246680734e-07,0.000116114360062,0.000116314942352,1,True,4.66692664284e+13,2.94128261892e+40,star_forming,False
0,0,Output19,11788,17370,False,7.69033001521e-07,61136340992.8,10.7862994427,292613014.084,0.292613014084,-11.320005805,6545835.60909,549.213637366,3.46136258246e+19,0.000949359319367,0.000949359319367,3.11091754647e+40,8.24775286745e+44,2.95337856452e+37,2.95337856452e+37,3.58082815039e-08,3.58082815039e-08,3.77183651894e-05,3.77835219546e-05,1,True,9.87217201632e+13,6.22183509293e+40,star_forming,False
0,0,Output19,11139,17370,False,7.69033001521e-07,39431453183,10.5958427826,614134253.699,0.614134253699,-10.8075794615,1889030.57707,499.606424699,3.14871821592e+19,0.00314995821721,0.00314995821721,2.82992680294e+40,2.38017852711e+44,8.91415118705e+37,8.91415118705e+37,3.74516074552e-07,3.74516074552e-07,0.000118895568997,0.0001191009557,1,True,8.98047723057e+13,5.65985360589e+40,star_forming,False
0,0,Output19,10413,17370,False,7.69033001521e-07,88773119855.6,10.9482814831,1195851713.16,1.19585171316,-10.870604153,6400704.03416,64.7497549879,4.08078685397e+18,0.000117444816112,0.000117444816112,3.66762831832e+39,8.06488708304e+44,4.30743933414e+35,4.30743933414e+35,5.34097909838e-10,5.34097909838e-10,4.54764993057e-06,4.55550578956e-06,1,True,1.16388355235e+13,7.33525663665e+39,star_forming,False
0,0,Output19,10674,17370,False,7.69033001521e-07,47664977557.3,10.6781993929,502912838.855,0.502912838855,-10.97670667,4949657.21775,0.188767968253,1.18969074623e+16,4.39189203713e-07,4.39189203713e-07,1.06924071927e+37,6.23656809437e+44,4.69598980073e+30,4.69598980073e+30,7.52976593805e-15,7.52976593805e-15,1.71446972612e-08,1.71743139481e-08,1,True,33931237809.4,2.13848143854e+37,star_forming,False
0,0,Output19,9589,17370,False,7.69033001521e-07,19852452032.6,10.2978141554,1123746517.34,1.12374651734,-10.2471457966,1374536.71279,185.7281272,1.17053245998e+19,0.00159203994934,0.00159203994934,1.05202211028e+40,1.73191625811e+44,1.67486122716e+37,1.67486122716e+37,9.67056703415e-08,9.67056703415e-08,6.07432435232e-05,6.08481747214e-05,1,True,3.33848232316e+13,2.10404422057e+40,star_forming,False
0,0,Output19,9691,17370,False,7.69033001521e-07,29162551284.3,10.4648255155,232666433.293,0.232666433293,-11.0980917832,1497176.13502,0.109487171999,6.90031664605e+15,9.28296493497e-07,9.28296493497e-07,6.20169532056e+36,1.88644193013e+44,5.75701201981e+30,5.75701201981e+30,3.05178332175e-14,3.05178332175e-14,3.28750926361e-08,3.29318828675e-08,1,True,19680432567.8,1.24033906411e+37,star_forming,False
0,0,Output19,9402,17370,False,7.69033001521e-07,16531938280.5,10.2183237752,476602708.154,0.476602708154,-10.5401672695,1145912.36519,239.373867851,1.50862923465e+19,0.00250358648807,0.00250358648807,1.35588833743e+40,1.44384958014e+44,3.39458372093e+37,3.39458372093e+37,2.3510646591e-07,2.3510646591e-07,9.3907866587e-05,9.40700881672e-05,1,True,4.30277006771e+13,2.71177667487e+40,star_forming,False
