target_redshift,redshift,output_name,mode_criterion,lambda_threshold,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
0,0,Output19,inclusive,0.1,star_forming,10,10.4,10.2,0.00457333713047,0.00334620473073,0.00625364806815,2188.94322179,10.0107753127,0.00168572980894,7.70941072718e-06,2189,10,False
0,0,Output19,inclusive,0.1,star_forming,10.4,10.8,10.6,0.0031301381725,0.00192529930106,0.00511482514442,1277.967663,4.00021536519,0.000984177713856,3.08061223066e-06,1278,4,False
0,0,Output19,inclusive,0.1,star_forming,10.8,11.2,11,0,4.02913487282e-05,0.0019960430245,496.986919758,0,0.000382732199262,0,497,0,True
0,0,Output19,inclusive,0.1,star_forming,11.2,11.6,11.4,0,0.00026979521662,0.0132914420589,73.9986643765,0,5.70133112448e-05,0,74,0,True
0,0,Output19,inclusive,0.1,star_forming,11.6,12,11.8,0,0.00242438619705,0.113374432262,7.9999931998,0,6.16096527907e-06,0,8,0,True
0,0,Output19,inclusive,0.1,quiescent,10,10.4,10.2,0,0.000338082133808,0.0166280114767,58.9994625938,0,4.54590169745e-05,0,59,0,True
0,0,Output19,inclusive,0.1,quiescent,10.4,10.8,10.6,0,0.0006023599096,0.0294367713408,32.9994638178,0,2.54201266134e-05,0,33,0,True
0,0,Output19,inclusive,0.1,quiescent,10.8,11.2,11,0,0.000321794790897,0.0158332023541,61.9988787042,0,4.77428770976e-05,0,62,0,True
0,0,Output19,inclusive,0.1,quiescent,11.2,11.6,11.4,0,0.000256003234228,0.0126162039234,77.9993400342,0,6.00715761076e-05,0,78,0,True
0,0,Output19,inclusive,0.1,quiescent,11.6,12,11.8,0,0.00123200171158,0.0592956736149,15.9999845281,0,1.23270586746e-05,0,16,0,True
0,0,Output19,inclusive,0.01,star_forming,10,10.4,10.2,0.0164519319898,0.0139486160895,0.0193971075627,2188.94322179,36.0123450145,0.00168572980894,2.773351217e-05,2189,36,False
0,0,Output19,inclusive,0.01,star_forming,10.4,10.8,10.6,0.0164161354833,0.0132280086775,0.0203612081923,1277.967663,20.9792902991,0.000984177713856,1.61563946903e-05,1278,21,False
0,0,Output19,inclusive,0.01,star_forming,10.8,11.2,11,0.0321886191199,0.0251828328048,0.0410762609261,496.986919758,15.9973226677,0.000382732199262,1.2319620987e-05,497,16,False
0,0,Output19,inclusive,0.01,star_forming,11.2,11.6,11.4,0.0405574097144,0.0233927738745,0.070084972585,73.9986643765,3.00119414944,5.70133112448e-05,2.31231222333e-06,74,3,False
0,0,Output19,inclusive,0.01,star_forming,11.6,12,11.8,0,0.00242438619705,0.113374432262,7.9999931998,0,6.16096527907e-06,0,8,0,True
0,0,Output19,inclusive,0.01,quiescent,10,10.4,10.2,0,0.000338082133808,0.0166280114767,58.9994625938,0,4.54590169745e-05,0,59,0,True
