definition,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
raw,star_forming,10.0,10.4,10.2,0.06662219869098086,0.0629363179608964,0.07050777844373483,4339.888345372472,289.132903642077,0.0033422260660455265,0.0002226664490422604,4340,289,False
raw,star_forming,10.4,10.8,10.600000000000001,0.09206244439060025,0.08648814224605558,0.09795765156383927,2541.936857854561,234.01692062065266,0.001957514310589056,0.00018021355236240915,2542,234,False
raw,star_forming,10.8,11.2,11.0,0.13157300213713405,0.12119266440204951,0.14269876304127374,987.9741473146629,129.99072459606532,0.0007608748280843194,0.00010011058538162966,988,130,False
raw,star_forming,11.2,11.6,11.399999999999999,0.3557436914389953,0.3157468592260214,0.39786829010710656,134.9977939999028,48.02461357364648,0.00010400548026795914,3.699929348040937e-05,135,48,False
raw,star_forming,11.6,12.0,11.8,0.0,0.0013127140437430838,0.06305710206491506,14.999989370617946,0.0,1.1552787560258798e-05,0.0,15,0,True
raw,quiescent,10.0,10.4,10.2,0.0,0.00016941430271440075,0.00836654729650056,117.99863362692153,0.0,9.089327390600248e-05,0.0,118,0,True
raw,quiescent,10.4,10.8,10.600000000000001,0.0,0.00034388785150375604,0.016911173394333037,57.998990852652135,0.0,4.467716808088744e-05,0.0,58,0,True
raw,quiescent,10.8,11.2,11.0,0.0,0.00018506417442440952,0.009135946089474824,107.99809461710709,0.0,8.317155691802327e-05,0.0,108,0,True
raw,quiescent,11.2,11.6,11.399999999999999,0.0,0.00013072491498748793,0.006461934809645167,152.99864243864093,0.0,0.00011781900854329803,0.0,153,0,True
raw,quiescent,11.6,12.0,11.8,0.0,0.000621021467310926,0.030335016633337156,31.99996558189834,0.0,2.465230461752983e-05,0.0,32,0,True
hbeta_true_bh,star_forming,10.0,10.4,10.2,0.05992848243486614,0.05642639190930617,0.06363335757713445,4339.888345372472,260.0829224749345,0.0033422260660455265,0.0002002945360923611,4340,260,False
hbeta_true_bh,star_forming,10.4,10.8,10.600000000000001,0.0802779923241345,0.07505300845739042,0.08583315451689456,2541.936857854561,204.061587563283,0.001957514310589056,0.00015714531879985167,2542,204,False
hbeta_true_bh,star_forming,10.8,11.2,11.0,0.098127072726658,0.08906816729548794,0.10799910193561961,987.9741473146629,96.94701100560384,0.0007608748280843194,7.46624195913134e-05,988,97,False
hbeta_true_bh,star_forming,11.2,11.6,11.399999999999999,0.25193253134805926,0.21650637902818098,0.291018021564845,134.9977939999028,34.01033596879936,0.00010400548026795914,2.6202363917977578e-05,135,34,False
hbeta_true_bh,star_forming,11.6,12.0,11.8,0.0,0.0013127140437430838,0.06305710206491506,14.999989370617946,0.0,1.1552787560258798e-05,0.0,15,0,True
