target_redshift,redshift,output_name,node_index,merger_tree_index,is_central_galaxy,weight,stellar_mass_msun,log10_stellar_mass_msun,sfr_raw_msun_per_gyr,sfr_msun_per_year,log10_ssfr_per_year,black_hole_mass_msun,mdot_rest_msun_per_gyr,mdot_rest_g_per_s,radiative_efficiency_catalog,radiative_efficiency_used,rest_mass_power_erg_s,eddington_luminosity_erg_s,bolometric_luminosity_catalog_erg_s,bolometric_luminosity_erg_s,eddington_ratio_catalog,eddington_ratio,accretion_rate_eddington_paper,accretion_rate_eddington_galacticus,fraction_adaf,valid_accreting_black_hole,power_jet_galacticus,power_jet_erg_s,hbeta_agn_intrinsic_erg_s,velocity_dispersion_km_s,bolometric_luminosity_hbeta_erg_s,black_hole_mass_sigma_msun,lambda_raw,lambda_hbeta_true_bh,lambda_raw_sigma_bh,lambda_mock_observed,valid_sigma_sample,population
0.0,0.0,Output19,17847,17371,False,7.71130095699942e-07,24402662456.727516,10.387437212698735,1503188807.9939706,1.5031888079939706,-10.210423679137769,1629674.6972083885,3.8646850964601316,2.4356781179011334e+17,3.0544096541981465e-05,3.0544096541981465e-05,2.189078322199589e+38,2.248951082147576e+44,6.686341961122305e+33,6.686341961122305e+33,2.973093552011527e-11,2.973093552011527e-11,9.733774734260502e-07,1.0679216949453e-06,1.0,True,694681148926.108,4.378156644399177e+38,1.0721491743181375e+30,98.36148492043668,3.441130589633372e+31,13928307.797177287,2.973093552011527e-11,1.5301046861132061e-13,3.4786532611869204e-12,1.7902913457613447e-14,True,star_forming
0.0,0.0,Output19,18407,17371,False,7.71130095699942e-07,25383619530.45852,10.404553549595793,2708975238.8686852,2.7089752388686854,-9.971748514172017,1177251.6998034054,0.0,0.0,0.30034911295687283,0.30034911295687283,0.0,1.6246073457286993e+44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,97.15576584309443,0.0,13192580.986687629,0.0,0.0,0.0,0.0,True,star_forming
0.0,0.0,Output19,15366,17371,False,7.71130095699942e-07,22255503083.22082,10.347437415908916,2223305622.351461,2.223305622351461,-10.000438249666233,1865152.5367523523,0.297570183526225,1.875405541368738e+16,1.8810630422875847e-06,1.8810630422875847e-06,1.6855304425368781e+37,2.5739105007182458e+44,3.1705890221067587e+31,3.1705890221067587e+31,1.2318178977948188e-13,1.2318178977948188e-13,6.548520012900734e-08,7.184578216039296e-08,1.0,True,53488548696.37199,3.371060885073756e+37,5.126386883473553e+27,97.18970563022802,6.2889396485658224e+28,13212870.932577575,1.2318178977948188e-13,2.443340452906542e-16,1.7388562172541805e-14,3.449063165108248e-17,True,star_forming
0.0,0.0,Output19,15577,17371,False,7.71130095699942e-07,14285517122.640171,10.154895966065922,1071406045.832056,1.071406045832056,-10.12494187334391,513933.3378682271,0.0,0.0,0.31036581891391446,0.31036581891391446,0.0,7.092280062581534e+43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,64.64931546185177,0.0,2197603.379377163,0.0,0.0,0.0,0.0,True,star_forming
0.0,0.0,Output19,13798,17371,False,7.71130095699942e-07,31021247622.991394,10.49165926043067,1105447437.384894,1.105447437384894,-10.448121163173466,1550993.8888051093,139.93812123324778,8.819456469046204e+18,0.0010673912073641963,0.0010673912073641963,7.926532175199202e+39,2.1403715665510506e+44,8.460710748697026e+36,8.460710748697026e+36,3.9529168116965956e-08,3.9529168116965956e-08,3.7033439889933916e-05,4.0630500475535955e-05,1.0,True,25154022232216.406,1.5853064350398402e+40,1.3269544087931075e+33,109.91474457178957,1.5345112687417459e+35,22704619.13262139,3.9529168116965956e-08,7.169368593390655e-10,2.7003094753911162e-09,4.897526274274197e-11,True,star_forming
0.0,0.0,Output19,13162,17371,False,7.71130095699942e-07,130957713243.1601,11.117131082908559,211759225.866294,0.211759225866294,-11.791288742273991,20556295.052664746,11.544897602925827,7.276053226331935e+17,5.524261717657538e-06,5.524261717657538e-06,6.5393905179305574e+38,2.8367687172677348e+45,3.6125304695016476e+33,3.6125304695016476e+33,1.273466690291585e-12,1.273466690291585e-12,2.305225123967471e-07,2.529131800177066e-07,1.0,True,2075207301723.1714,1.307878103586111e+39,5.770754242351077e+29,141.71728617235323,1.6567403278220469e+31,69458989.15356073,1.273466690291585e-12,5.8402375834775656e-15,3.7688076582139965e-13,1.7284105111033306e-15,True,quiescent
0.0,0.0,Output19,12223,17371,False,7.71130095699942e-07,40808455996.52699,10.610750163387005,1286986517.8550987,1.2869865178550988,-10.50117616601782,2148568.0636036666,34.36872872238679,2.1660538543198031e+18,0.00021083980293852518,0.00021083980293852518,1.9467521189927674e+39,2.96502392777306e+44,4.104528331385914e+35,4.104528331385914e+35,1.3843154157844189e-09,1.3843154157844189e-09,6.565721445812798e-06,7.203450425323411e-06,1.0,True,6177814585169.187,3.893504237985535e+39,6.340749124769101e+31,122.81023251015372,4.2415625227586896e+33,36991339.2421604,1.3843154157844189e-09,1.4305323080290955e-11,8.040519627682791e-11,8.308961216201295e-13,True,star_forming
0.0,0.0,Output19,12135,17371,False,7.71130095699942e-07,18720931927.808064,10.272327464115262,540161097.7533331,0.5401610977533331,-10.539804160901065,1677631.9982442888,209.7645509835587,1.3220195539605236e+19,0.0015485151119399743,0.0015485151119399743,1.1881719205133583e+40,2.3151321575771183e+44,1.8399021744976773e+37,1.8399021744976773e+37,7.947287883656764e-08,7.947287883656764e-08,5.132199112800668e-05,5.630689968659155e-05,1.0,True,37705395302375.31,2.376343841026716e+40,2.8939262428828297e+33,92.57006261194572,3.8508375726570735e+35,10664450.234949378,7.947287883656764e-08,1.6633338015083918e-09,1.250193320719735e-08,2.6166018385335345e-10,True,star_forming
0.0,0.0,Output19,11224,17371,False,7.71130095699942e-07,60385899370.965256,10.78093553894715,2326856213.31036,2.32685621331036,-10.414165991799328,2972815.5051783766,263.8720047882841,1.6630262283936561e+19,0.001048127574091131,0.001048127574091131,1.4946534351439563e+40,4.102485397146159e+44,1.5665874790844105e+37,1.5665874790844105e+37,3.818630238572419e-08,3.818630238572419e-08,3.643287642617065e-05,3.997160424087492e-05,1.0,True,47431266165427.32,2.989306870287912e+40,2.422074488298169e+33,132.27896059720746,3.1213411969079854e+35,51289376.95411674,3.818630238572419e-08,7.608415130689572e-10,2.213340043480469e-09,4.4099608561402604e-11,True,star_forming
0.0,0.0,Output19,10536,17371,False,7.71130095699942e-07,49087935783.40221,10.69097476979132,429520807.8031023,0.4295208078031023,-11.057990562054382,6433142.757471638,0.06336903983801968,3993768698703133.5,1.1162391460275612e-07,1.1162391460275612e-07,3.5894203006364423e+36,8.877737005310859e+44,4.0066514511164145e+29,4.0066514511164145e+29,4.513145015131161e-16,4.513145015131161e-16,4.043170346777756e-09,4.43588376304407e-09,1.0,True,11390650545.199978,7.178840601272883e+36,6.123314294568108e+25,120.96229204187455,3.385666142515465e+26,34604139.30913906,4.513145015131161e-16,3.813658976933068e-19,8.390240805625922e-17,7.089849109596031e-20,True,star_forming
0.0,0.0,Output19,9433,17371,False,7.71130095699942e-07,51556867259.72935,10.712286520528789,8466541.664123746,0.008466541664123745,-12.784580470634268,3905233.8681163103,0.0034643262385856016,218335605669980.3,1.054810868390068e-08,1.054810868390068e-08,1.962302562985345e+35,5.389222738000508e+44,2.069858070506628e+27,2.069858070506628e+27,3.840735800195521e-18,3.840735800195521e-18,3.641160624423165e-10,3.994826808468862e-10,1.0,True,622716229.5525298,3.924605125970689e+35,3.131726598252787e+23,125.61276263436415,6.699230676092806e+23,40852307.76582696,3.840735800195521e-18,1.2430791974611042e-21,3.6715114385672523e-19,1.1883086288546857e-22,True,quiescent
0.0,0.0,Output19,9138,17371,False,7.71130095699942e-07,19038381953.11035,10.279630035503502,210612655.42832315,0.21061265542832314,-10.956145571704582,1428569.2081885724,15.353144385236696,9.67616167597976e+17,0.00013602760847886608,0.00013602760847886608,8.696500416581536e+38,1.97142550730023e+44,1.1829641538030489e+35,1.1829641538030489e+35,6.000552135612063e-10,6.000552135612063e-10,4.411275183555357e-06,4.839742648154139e-06,1.0,True,2759743605225.1147,1.7393000833163068e+39,1.793647411706555e+31,107.22077914015901,9.558940287823219e+32,20356140.405108184,6.000552135612063e-10,4.84874536340646e-12,4.21111460349058e-11,3.4027906010961545e-13,True,star_forming
0.0,0.0,Output19,8929,17371,False,7.71130095699942e-07,14708311308.111628,10.167562813334726,492776614.55266714,0.49277661455266714,-10.474912723780058,1157192.3776955432,7023.873775715154,4.4267243595290686e+20,0.05453362095935273,0.05453362095935273,3.9785414429671724e+41,1.5969254812198496e+44,2.1696427102184805e+40,2.1696427102184805e+40,0.00013586374165444132,0.00013586374165444132,0.0024913757653413286,0.0027333632662612547,0.9999976720560194,True,455653303691843.06,2.871708181782078e+41,4.553798531312943e+36,103.68065058843462,2.2797178460328208e+39,17560543.74830974,0.00013586374165444132,1.4275668294123555e-05,8.953053419137376e-06,9.407279622568517e-07,True,star_forming
0.0,0.0,Output19,8813,17371,False,7.71130095699942e-07,10671409688.877724,10.028221793338435,595985143.8097522,0.5959851438097522,-10.25298635917179,651534.3756818676,958.6179062280212,6.041590968864282e+19,0.01707704564144972,0.01707704564144972,5.429911171076361e+40,8.991174384409773e+43,9.272684089748871e+38,9.272684089748871e+38,1.0313095590523994e-05,1.0313095590523994e-05,0.0006039156776328955,0.0006625740492963633,0.9999999999983693,True,172312561530174.78,1.0859822342135011e+41,2.680160539607814e+35,95.50261689751814,8.058046223165428e+37,12233063.097962124,1.0313095590523994e-05,8.962173214143927e-07,5.492766810005933e-07,4.7732639675526175e-08,True,star_forming
