target_redshift,redshift,output_name,mode_criterion,lambda_threshold,population,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
0,0,Output19,inclusive,0.1,star_forming,10,10.4,10.2,0.00639761858251,0.00490956513567,0.0083370017347,2188.94322179,14.0040238318,0.00168572980894,1.07846563508e-05,2189,14,False
0,0,Output19,inclusive,0.1,star_forming,10.4,10.8,10.6,0.00860887359373,0.00639125928052,0.0115961251476,1277.967663,11.0018620677,0.000984177713856,8.47266153235e-06,1278,11,False
0,0,Output19,inclusive,0.1,star_forming,10.8,11.2,11,0.0100740852589,0.00651305305774,0.0156095893587,496.986919758,5.00668860218,0.000382732199262,3.85567680667e-06,497,5,False
0,0,Output19,inclusive,0.1,star_forming,11.2,11.6,11.4,0.0134832104633,0.00562104592639,0.034507974307,73.9986643765,0.99773956579,5.70133112448e-05,7.68722474722e-07,74,1,False
0,0,Output19,inclusive,0.1,star_forming,11.6,12,11.8,0,0.00242438619705,0.113374432262,7.9999931998,0,6.16096527907e-06,0,8,0,True
0,0,Output19,inclusive,0.1,quiescent,10,10.4,10.2,0,0.000338082133808,0.0166280114767,58.9994625938,0,4.54590169745e-05,0,59,0,True
0,0,Output19,inclusive,0.1,quiescent,10.4,10.8,10.6,0,0.0006023599096,0.0294367713408,32.9994638178,0,2.54201266134e-05,0,33,0,True
0,0,Output19,inclusive,0.1,quiescent,10.8,11.2,11,0,0.000321794790897,0.0158332023541,61.9988787042,0,4.77428770976e-05,0,62,0,True
0,0,Output19,inclusive,0.1,quiescent,11.2,11.6,11.4,0,0.000256003234228,0.0126162039234,77.9993400342,0,6.00715761076e-05,0,78,0,True
0,0,Output19,inclusive,0.1,quiescent,11.6,12,11.8,0,0.00123200171158,0.0592956736149,15.9999845281,0,1.23270586746e-05,0,16,0,True
