ssfr_split_log10_per_year,mass_low_log10_msun,mass_high_log10_msun,mass_center_log10_msun,fraction,lower,upper,effective_n,effective_successes,total_weight,success_weight,raw_n,raw_successes,is_upper_limit
-11.5,10,10.4,10.2,0.0264695289221,0.0241704300571,0.0289810222032,4458.88690965,118.024636015,0.00343388332197,9.0893273906e-05,4459,118,False
-11.5,10.4,10.8,10.6,0.0223141335666,0.019597800781,0.0253979283401,2599.93584401,58.0153156877,0.00200219147867,4.46771680809e-05,2600,58,False
-11.5,10.8,11.2,11,0.0985390831545,0.0899015539665,0.107908894283,1095.97224189,107.996099879,0.000844046385002,8.3171556918e-05,1096,108,False
-11.5,11.2,11.6,11.4,0.531136166141,0.501673325794,0.560383230346,287.996420959,152.96531489,0.000221824488811,0.000117819008543,288,153,False
-11.5,11.6,12,11.8,0.680907108218,0.609758442523,0.744454031976,46.9999542712,32.0026029492,3.62050921778e-05,2.46523046175e-05,47,32,False
-11,10,10.4,10.2,0.0747051272049,0.0708628381258,0.0787381600376,4458.88690965,333.101713777,0.00343388332197,0.000256528690374,4459,333,False
-11,10.4,10.8,10.6,0.0777027280118,0.0726143031435,0.0831159483653,2599.93584401,202.022107735,0.00200219147867,0.000155575739895,2600,202,False
-11,10.8,11.2,11,0.369533286534,0.355078569698,0.384225957968,1095.97224189,404.998224495,0.000844046385002,0.000311903234637,1096,405,False
-11,11.2,11.6,11.4,0.739552117492,0.712896568857,0.764547451591,287.996420959,212.98836295,0.000221824488811,0.000164050770412,288,213,False
-11,11.6,12,11.8,0.787298124162,0.721989709399,0.840529522884,46.9999542712,37.0029758334,3.62050921778e-05,2.85042011567e-05,47,37,False
-10.5,10,10.4,10.2,0.219802575993,0.213664267466,0.226066548808,4458.88690965,980.074828801,0.00343388332197,0.000754776399828,4459,980,False
-10.5,10.4,10.8,10.6,0.33961736528,0.330392917644,0.348965159071,2599.93584401,882.983361239,0.00200219147867,0.000679978994772,2600,883,False
-10.5,10.8,11.2,11,0.826731049563,0.815003163683,0.837862998229,1095.97224189,906.074281831,0.000844046385002,0.000697799353753,1096,906,False
-10.5,11.2,11.6,11.4,0.857515378274,0.835689725781,0.876862898037,287.996420959,246.96135986,0.000221824488811,0.000190217910434,288,247,False
-10.5,11.6,12,11.8,0.978714408833,0.946027036232,0.991115870931,46.9999542712,45.9995324597,3.62050921778e-05,3.54344453875e-05,47,46,False
