observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,prediction_plot,prediction_sigma_plot
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,0,8.0,-1.37,0.03388554953347397,-1.5752330754650836,0.10318147354083315
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,1,8.25,-1.53,0.02764091299016487,-1.668696607301964,0.056639612700958644
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,2,8.5,-1.71,0.03257053716126054,-1.7401755066522697,0.047995025175791635
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,3,8.75,-1.8599999999999999,0.03875116762355399,-1.7838532092099193,0.053603907678119775
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,4,9.0,-2.03,0.07310630328559199,-1.8361371423935045,0.066430626326047
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,5,9.25,-2.01,0.11430786925422912,-1.914459587915887,0.07418825276003145
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,6,9.5,-2.1,0.13425025335825852,-2.029059267238842,0.08823516195344894
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,7,9.75,-2.17,0.12870137534632478,-2.162716225460972,0.11727816182192402
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,8,10.0,-2.24,0.1151563350336599,-2.286282102723001,0.14601195754656388
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,9,10.25,-2.31,0.09505799913247222,-2.386995827148787,0.1829441532591171
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,10,10.5,-2.41,0.08563784812230946,-2.4564893367375076,0.2464572227025666
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,11,10.75,-2.5300000000000002,0.08801978149982136,-2.5219603499625234,0.3094592532788882
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,12,11.0,-2.91,0.08999910563249144,-2.6943920109921042,0.3714426481961966
smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,13,11.25,-3.46,0.09992050649589666,-3.2513731324350132,0.4771945818054695
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,0,8.75,-1.9899999999999998,0.035241959302866804,-1.7995770270645166,0.07814778852719075
smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,1,9.0,-2.14,0.038005862162430896,-1.9133189870290872,0.08783117189130944
