posterior_label,observable_key,analysis,bin_index_after_mask,x_plot,target_plot,target_sigma_plot,posterior_prediction_lower,posterior_prediction_median,posterior_prediction_upper
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,0,8.0,-1.37,0.03388554953347397,-1.6536219830790613,-1.6153103898805212,-1.5812503152407218
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,1,8.25,-1.53,0.02764091299016487,-1.7091697768721557,-1.6773703479780901,-1.6477321674428418
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,2,8.5,-1.71,0.03257053716126054,-1.78422569761566,-1.757047310960077,-1.731162325129964
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,3,8.75,-1.8599999999999999,0.03875116762355399,-1.864125606207451,-1.8368428650265907,-1.8101225332061532
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,4,9.0,-2.03,0.07310630328559199,-1.9641740529615663,-1.9295221130920657,-1.8962586168576416
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,5,9.25,-2.01,0.11430786925422912,-2.0720578617888954,-2.033373119289148,-1.99246877881935
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,6,9.5,-2.1,0.13425025335825852,-2.1942994194794516,-2.152388392790121,-2.1044166718731234
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,7,9.75,-2.17,0.12870137534632478,-2.3233288003253336,-2.270696569672335,-2.216323959679969
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,8,10.0,-2.24,0.1151563350336599,-2.426471742582387,-2.365859082545846,-2.307867820563862
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,9,10.25,-2.31,0.09505799913247222,-2.5136955241733934,-2.437460071961235,-2.362697047845038
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,10,10.5,-2.41,0.08563784812230946,-2.5861680169113117,-2.4776930701944213,-2.375179543548753
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,11,10.75,-2.5300000000000002,0.08801978149982136,-2.672944662437136,-2.5408614355146546,-2.4069451143083898
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,12,11.0,-2.91,0.08999910563249144,-2.871000993140189,-2.720732602559754,-2.5736030868740927
SMF z0+z3,smf_z0,massFunctionStellarTomczak2014ZFOURGEz0,13,11.25,-3.46,0.09992050649589666,-3.4458229718565034,-3.261471109333378,-3.0919881696203633
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,0,8.75,-1.9899999999999998,0.035241959302866804,-1.91305217871345,-1.8840003327408945,-1.8552373694517015
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,1,9.0,-2.14,0.038005862162430896,-2.037046108158322,-2.005267491197109,-1.972157292319437
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,2,9.25,-2.24,0.039487599867068804,-2.1709198518249417,-2.1356590716703963,-2.099239959954438
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,3,9.5,-2.29,0.048985169877665526,-2.2973435996623084,-2.2601053037434347,-2.2178171543701772
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,4,9.75,-2.48,0.0510303444782522,-2.4324972903377753,-2.3885745176562216,-2.3387428925297886
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,5,10.0,-2.59,0.04758057141795755,-2.5652765844349985,-2.5093666708999023,-2.447525613628285
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,6,10.25,-2.73,0.05422430948896547,-2.696188622225727,-2.62047521570935,-2.538559623396272
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,7,10.5,-2.64,0.03767295898922773,-2.8104637294167865,-2.707876823504421,-2.608449081039887
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,8,10.75,-2.7199999999999998,0.04292670823333299,-2.926862513660356,-2.8026767106672255,-2.6795331262627626
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,9,11.0,-3.01,0.05139680935005372,-3.2880221356725468,-3.12636020604873,-2.967590213750726
SMF z0+z3,smf_z3,massFunctionStellarTomczak2014ZFOURGEz3,10,11.25,-3.62,0.06979838494741979,-4.10046629304519,-3.9152150563550454,-3.7338220712911894
SMF z0+z3,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,0,9.25,0.4900000000000002,0.009999999999999997,0.7533592870994535,0.8075404755388158,0.8570067882749847
SMF z0+z3,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,1,9.75,0.6099999999999999,0.009999999999999998,0.7935559552775641,0.8512522283742925,0.9173513009165224
SMF z0+z3,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,2,10.25,0.6600000000000001,0.009999999999999998,0.7759835247824831,0.8518143760782624,0.9377679985363225
SMF z0+z3,size_mass_vdw2014_star_forming_z0,stellarSizeMassRelationvanDerWel2014Sample1,3,10.75,0.8300000000000001,0.01,0.8143445690695024,0.8948572081532185,0.9783553750214266
SMF z0+z3,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,0,9.25,0.27,0.009999999999999997,0.5106367893141415,0.5846518272960719,0.6976349306537752
SMF z0+z3,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,1,9.75,0.28000000000000025,0.009999999999999998,0.5358281339806183,0.616283118476743,0.7856651231206252
SMF z0+z3,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,2,10.25,0.3799999999999999,0.009999999999999998,0.5864343936534985,0.6720290209668376,0.8587844087173987
SMF z0+z3,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,3,10.75,0.6699999999999999,0.009999999999999998,0.8158114388234894,0.8738513255968319,0.937581961885942
SMF z0+z3,size_mass_vdw2014_quiescent_z0,stellarSizeMassRelationvanDerWel2014Sample7,4,11.25,0.7599999999999998,0.009999999999999998,0.942597684451336,1.0251910259125823,1.0972563347819397
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,0,7.176091259055681,-1.2548312112854956,0.130493336169754,-1.5437322218470542,-1.5031895671062339,-1.465415671535176
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,1,7.301029995663981,-1.6000789981649997,0.11941405989069884,-1.533026523902088,-1.4932234561271647,-1.4549885897339088
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,2,7.414973347970818,-1.3525196308193832,0.0551227713848271,-1.5281519993393908,-1.4898398272163116,-1.451873722541016
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,3,7.544068044350276,-1.3065392744797073,0.03816103744721452,-1.5338355462922697,-1.4969423100305739,-1.4606300876500922
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,4,7.672097857935717,-1.3143671899501175,0.03204927461666128,-1.5515168851282377,-1.5176919316509303,-1.4792836933087414
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,5,7.799340549453582,-1.3502289006582016,0.027102806906128974,-1.5857084086318285,-1.5471053878349432,-1.5076550572557652
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,6,7.924279286061882,-1.4306079042053748,0.03231670600148942,-1.6294945986245741,-1.5844214274456998,-1.5385955011940533
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,7,8.049218022670182,-1.3628186867612504,0.019898918921290486,-1.671591773284029,-1.6217080039467242,-1.5708778276192708
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,8,8.173186268412275,-1.4646271911470679,0.018189123881309423,-1.7140989039426187,-1.6581574058518054,-1.5997420391965764
SMF z0+z3,sfr_function_robotham2011,starFormationRateFunctionRobotham2011,9,8.298853076409706,-1.5094819941361866,0.01564326332076906,-1.758884741549426,-1.6953002814039773,-1.6306081358118432
