observable_key,observable,sample_label,target_error_mode,bin_index,x_plot,target_log10_phi,target_log10_phi_std,prediction_log10_phi,prediction_log10_phi_std
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,0,40.1,-1.6600000000000001,0.039999999999999945,-1.7557367582568308,0.0987464128229546
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,1,40.2,-1.7,0.04000000000000003,-1.7632409102962767,0.08845709868230352
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,2,40.3,-1.81,0.04000000000000003,-1.794787079509812,0.08139648605810107
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,3,40.4,-1.9300000000000002,0.05000000000000005,-1.8475411277937108,0.08035246276439648
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,4,40.5,-1.96,0.07000000000000008,-1.9070274313984545,0.08248818170410911
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,5,40.6,-2.03,0.06999999999999999,-1.9558637539569763,0.09046200440226249
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,6,40.7,-2.12,0.08999999999999987,-1.9922719520093055,0.10101055701265153
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,7,40.8,-2.27,0.0800000000000001,-2.0186006842948485,0.10654779450394322
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,8,40.9,-2.29,0.08999999999999987,-2.049930857346692,0.11301645174563904
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,9,41.0,-2.42,0.1000000000000001,-2.0968821887070552,0.12385914725743634
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,10,41.1,-2.46,0.10999999999999988,-2.1683476919294455,0.1400087794488581
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,11,41.2,-2.57,0.1299999999999999,-2.2662074645468193,0.1593911170423219
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,12,41.3,-2.69,0.18999999999999997,-2.40138042007245,0.18691867687963154
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,13,41.4,-2.73,0.16999999999999987,-2.5824951500724285,0.22123040072087466
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,14,41.5,-2.88,0.2000000000000001,-2.7791270648549005,0.2700338468190917
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,15,41.6,-3.03,0.35000000000000003,-3.0337048342593973,0.33993013683282
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,16,41.8,-3.56,0.5100000000000002,-3.3947394548693812,0.4682742418171044
halpha_sobral_z1,halpha_sobral,z1,sobral_log_table,17,42.1,-3.71,0.71,-3.812718077946208,0.7930769842959362
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,0,41.3,-1.9300000000000002,0.03,-2.1096175596737483,0.18406855931438826
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,1,41.45,-2.02,0.03000000000000009,-2.273146063684468,0.20836962496582764
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,2,41.6,-2.18,0.04000000000000003,-2.4348243870026147,0.23890387320183193
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,3,41.75,-2.43,0.06000000000000011,-2.5811491905070403,0.2711211658139447
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,4,41.9,-2.73,0.16999999999999987,-2.7325273479048304,0.3190214737338348
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,5,42.05,-3.01,0.16999999999999993,-2.9570157053136716,0.3902587365380713
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,6,42.2,-3.27,0.20999999999999994,-3.3081614606009335,0.4525186124121251
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,7,42.35,-3.79,0.5499999999999998,-3.5838150933737345,0.4968023002049234
halpha_sobral_z2,halpha_sobral,z2,sobral_log_table,8,42.5,-4.13,1.5099999999999998,-4.0078259818490425,0.5350950241914544
