evaluation_id,dust_draw_index,dust_case,scatter_mode,delta_0,delta_z,delta_M,delta_Mz,attenuation_scatter,z_pivot,observable,observable_label,sample_label,output_name,redshift,bin_index,log10_luminosity_min,log10_luminosity_center,log10_luminosity_max,phi_mpc3_dex,phi_mpc3_dex_shot_noise_std_conservative,phi_mpc3_dex_shot_noise_std_smoothed_expectation,log10_phi_shot_noise_std_conservative,log10_phi_shot_noise_std_smoothed_expectation,dn_dlnL_mpc3,dn_dlnL_mpc3_shot_noise_std_conservative,dn_dlnL_mpc3_shot_noise_std_smoothed_expectation,log10_dn_dlnL_shot_noise_std_conservative,log10_dn_dlnL_shot_noise_std_smoothed_expectation,z_min,z_max,target_redshift
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,0,40.05,40.1,40.150000000000006,0.020602059270626513,0.000800244308392323,0.0005894097765500533,0.016869269364969706,0.012424845991025656,0.008947360657076827,0.0003475416873092699,0.00025597741353551676,0.016869269364969703,0.012424845991025654,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,1,40.150000000000006,40.2,40.25,0.01873592286000318,0.0007631410630315628,0.0005624498154373391,0.017689438362062788,0.013037460338470742,0.008136907911464372,0.0003314279525883894,0.0002442688511919388,0.017689438362062788,0.013037460338470743,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,2,40.25,40.300000000000004,40.35,0.016732550573277473,0.000721187766197116,0.0005289866944108188,0.01871847725210196,0.013729885433590596,0.0072668543821414995,0.00031320786727554004,0.00022973600238286037,0.018718477252101958,0.013729885433590595,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,3,40.35,40.4,40.45,0.015634513715152242,0.0006971230886128873,0.0005105407954723699,0.019364638779811292,0.014181768253224362,0.006789983033731327,0.0003027567105919286,0.00022172505026014694,0.019364638779811292,0.014181768253224362,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,4,40.45,40.5,40.55,0.014489536379171263,0.0006711112555347685,0.0004888465139322856,0.020115199506375327,0.014652183337185256,0.0062927256948105015,0.0002914599150219131,0.00021230334349843274,0.020115199506375327,0.014652183337185256,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,5,40.55,40.6,40.650000000000006,0.01364440375219597,0.0006512452353385086,0.00047115185546157425,0.020728807004687107,0.014996525658551274,0.0059256892584387336,0.00028283221207329887,0.00020461865096544016,0.020728807004687107,0.014996525658551276,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,6,40.650000000000006,40.7,40.75,0.012963327713743937,0.0006347833514389224,0.0004571127519690049,0.021266368699581126,0.015314088339930861,0.0056299016931824885,0.0002756829067339766,0.0001985215457877486,0.021266368699581123,0.01531408833993086,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,7,40.75,40.800000000000004,40.85,0.012649056561192614,0.000627041586735902,0.00044869160300323245,0.02152893377666941,0.015405440423001448,0.005493415465808074,0.0002723207010432615,0.0001948642872606284,0.021528933776669413,0.01540544042300145,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,8,40.85,40.9,40.95,0.011898079333278482,0.0006081429941766115,0.0004355616804792608,0.022197964829525817,0.01589853530658273,0.005167270199689966,0.0002641131465790238,0.00018916203436065027,0.02219796482952582,0.015898535306582733,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,9,40.95,41.0,41.05,0.010818790399351701,0.0005799047036027374,0.0004072593959227305,0.02327888825903322,0.016348455032744902,0.004698540971306321,0.00025184941280440964,0.00017687050835249357,0.02327888825903322,0.016348455032744905,,,
bestFitModel,0,map_dust,expected,-0.738126,0.517844,0.795411,0.0473573,0.258142,1.0,halpha_sobral,Halpha Sobral,Z1,Output16,0.4,10,41.05,41.1,41.150000000000006,0.010086092953926125,0.0005599235848057064,0.0003890932062028791,0.024109605600446938,0.016753864273497177,0.004380334513853385,0.00024317172316860573,0.0001689810323999545,0.02410960560044694,0.016753864273497177,,,
