observable,sample_label,bin_index,log10_luminosity_center,phi_mpc3_dex
halpha_sobral,Z1,0,40.1,0.020590269818082443
halpha_sobral,Z1,1,40.2,0.018475333430254284
halpha_sobral,Z1,2,40.3,0.016705227858570555
halpha_sobral,Z1,3,40.4,0.01536556876187408
halpha_sobral,Z1,4,40.5,0.014264291815292684
halpha_sobral,Z1,5,40.6,0.013350812529257176
halpha_sobral,Z1,6,40.7,0.012688938568413279
halpha_sobral,Z1,7,40.8,0.012241697739605378
halpha_sobral,Z1,8,40.9,0.011584758852686842
halpha_sobral,Z1,9,41.0,0.01090862851018056
halpha_sobral,Z1,10,41.1,0.009995554642080547
halpha_sobral,Z1,11,41.2,0.008798156549283323
halpha_sobral,Z1,12,41.3,0.007385161517467142
halpha_sobral,Z1,13,41.4,0.005918849202861021
halpha_sobral,Z1,14,41.5,0.0044655481749677015
halpha_sobral,Z1,15,41.6,0.0028343862896748197
halpha_sobral,Z1,16,41.8,0.0011254593972720398
halpha_sobral,Z1,17,42.1,0.00037214228678314015
halpha_sobral,Z2,0,41.3,0.009652897038419702
halpha_sobral,Z2,1,41.45,0.006841188207454059
halpha_sobral,Z2,2,41.6,0.003999098503203199
halpha_sobral,Z2,3,41.75,0.002026135999399079
halpha_sobral,Z2,4,41.9,0.0011821887652758998
halpha_sobral,Z2,5,42.05,0.00072975068114026
halpha_sobral,Z2,6,42.2,0.0004411391417385599
halpha_sobral,Z2,7,42.35,0.00029856427422278
halpha_sobral,Z2,8,42.5,0.0002142289209705401
halpha_sobral,Z3,0,41.7,0.003609627179930242
halpha_sobral,Z3,1,41.8,0.002719075254477999
halpha_sobral,Z3,2,41.9,0.0022865284751053595
halpha_sobral,Z3,3,42.0,0.0018925585552197809
halpha_sobral,Z3,4,42.1,0.0014685104295570006
halpha_sobral,Z3,5,42.2,0.0010814844564101397
halpha_sobral,Z3,6,42.3,0.0007491285249657001
halpha_sobral,Z3,7,42.4,0.0005450962862507398
halpha_sobral,Z3,8,42.5,0.0004282027938142998
halpha_sobral,Z3,9,42.6,0.00036648182565436
halpha_sobral,Z3,10,42.7,0.00032200456062669993
halpha_sobral,Z3,11,42.8,0.00026635297573521997
halpha_sobral,Z3,12,43.0,0.00019491171729797992
halpha_sobral,Z4,0,41.6,0.005975767897723758
halpha_sobral,Z4,1,41.75,0.004450111290634061
halpha_sobral,Z4,2,41.9,0.003790236174370462
halpha_sobral,Z4,3,42.0,0.0032647309807852807
halpha_sobral,Z4,4,42.1,0.0026004206671627183
halpha_sobral,Z4,5,42.2,0.0018995153890631992
halpha_sobral,Z4,6,42.3,0.0013383611239453205
halpha_sobral,Z4,7,42.4,0.0009332395240282003
halpha_sobral,Z4,8,42.5,0.0007273181072003998
halpha_sobral,Z4,9,42.6,0.0006226478082495399
halpha_sobral,Z4,10,42.7,0.0005839136335605003
halpha_sobral,Z4,11,42.8,0.0005972377832117403
halpha_sobral,Z4,12,42.9,0.0005564333857052402
halpha_sobral,Z4,13,43.0,0.0004880802266115
halpha_sobral,Z4,14,43.2,0.0003700137730954399
