observable_key,method,subset_size,bin_index,x_plot,n_train_mean,n_test_total,pca_components_mean,pca_explained_variance_mean,n_valid,rmse,bias,r2,normalized_rmse,coverage_1sigma
smf_z0,bin_by_bin,64,0,8.0,51.1875,64,,,64,0.23910223469940545,0.0022244299936846623,0.06410376817691477,2.4914656088702465,0.65625
smf_z0,bin_by_bin,64,1,8.25,51.1875,64,,,64,0.1323513202866975,-0.000856583213015568,0.24014414212341428,1.622534355869327,0.4375
smf_z0,bin_by_bin,64,2,8.5,51.1875,64,,,64,0.09652970096151778,0.003678228692962679,0.6623501525602216,1.5841550030769949,0.40625
smf_z0,bin_by_bin,64,3,8.75,51.1875,64,,,64,0.1271007749867272,0.015989053483268154,0.6704097812206707,1.7917413025080884,0.53125
smf_z0,bin_by_bin,64,4,9.0,51.1875,64,,,64,0.14683840992651423,0.02129013663267195,0.7557462435481788,1.5291473336553798,0.59375
smf_z0,bin_by_bin,64,5,9.25,51.1875,64,,,64,0.1968452550712181,0.015927326971817493,0.7443522853503539,1.4553939732278305,0.65625
smf_z0,bin_by_bin,64,6,9.5,51.1875,64,,,64,0.25517184956086114,0.00981125466322267,0.7413332575559854,1.359517352230787,0.671875
smf_z0,bin_by_bin,64,7,9.75,51.1875,64,,,64,0.317589795751227,0.01271971600222753,0.7532380075374433,1.2273455549700643,0.71875
smf_z0,bin_by_bin,64,8,10.0,51.1875,64,,,64,0.42919401360941645,0.06732672556994704,0.7203618087558423,1.2417565325751696,0.6875
smf_z0,bin_by_bin,64,9,10.25,51.1875,64,,,64,0.5005927186934663,0.0391672924714817,0.7373109655627292,1.2868578892495792,0.703125
smf_z0,bin_by_bin,64,10,10.5,51.1875,64,,,64,0.6908032560834116,0.04081714225448787,0.6196688016247561,1.4653861256053982,0.609375
smf_z0,bin_by_bin,64,11,10.75,51.1875,64,,,64,0.7862171534418444,0.006741315104986462,0.6133063262699796,1.480923498477359,0.5625
smf_z0,bin_by_bin,64,12,11.0,51.1875,64,,,64,0.9694632295402111,0.061112607266356846,0.39899065862840866,1.7446580019341853,0.5
