bin_index,x_plot,target_plot,target_sigma_plot
0,8.0,-1.7322156886994633,0.03388554953347397
1,8.25,-1.8922156886994632,0.02764091299016487
2,8.5,-2.072215688699463,0.03257053716126054
3,8.75,-2.222215688699463,0.03875116762355399
4,9.0,-2.392215688699463,0.07310630328559199
5,9.25,-2.372215688699463,0.11430786925422912
6,9.5,-2.4622156886994633,0.13425025335825852
7,9.75,-2.532215688699463,0.12870137534632478
8,10.0,-2.6022156886994634,0.1151563350336599
9,10.25,-2.6722156886994632,0.09505799913247222
10,10.5,-2.7722156886994633,0.08563784812230946
11,10.75,-2.8922156886994634,0.08801978149982136
12,11.0,-3.2722156886994633,0.08999910563249144
13,11.25,-3.822215688699463,0.09992050649589666
